date,steps,distance,runDistance,calories
2023-01-13,14731,10630,359,364
2023-01-14,8370,5890,367,203
2023-01-15,11329,8008,377,264
2023-01-16,11462,8064,379,272
2023-01-17,13050,9352,498,320
2023-01-18,14864,10614,478,364
2023-01-19,12883,9302,440,312
2023-01-20,12330,8786,632,298
2023-01-21,6827,4727,336,160
2023-01-22,5840,4055,373,133
2023-01-23,5926,4125,370,140
2023-01-24,11435,8214,339,285
2023-01-25,13868,10166,508,351
2023-01-26,5437,3780,293,131
2023-01-27,5949,4173,334,142
2023-01-28,8566,5940,467,191
2023-01-29,10808,7529,663,251
2023-01-30,15039,10811,520,376
2023-01-31,10889,7784,484,260
2023-02-01,10459,7573,521,263
2023-02-02,11926,8477,519,290
2023-02-03,13787,9919,580,332
2023-02-04,7665,5351,434,178
2023-02-05,7749,5473,335,180
2023-02-06,2234,1628,174,57
2023-02-07,6370,4445,393,151
2023-02-08,9666,6856,608,226
2023-02-09,11220,7886,461,265
2023-02-10,16317,11730,440,405
2023-02-11,11476,8044,485,272
2023-02-12,4129,2900,181,100
2023-02-13,4078,2826,246,98
2023-02-14,6105,4245,229,139
2023-02-15,4409,3079,176,101
2023-02-16,5345,3697,265,124
2023-02-17,6162,4343,374,148
2023-02-18,4414,3109,309,108
2023-02-19,5711,3960,316,132
2023-02-20,3613,2518,204,90
2023-02-21,7410,5194,272,178
2023-02-22,4631,3232,328,106
2023-02-23,10041,7115,370,234
2023-02-24,5222,3688,219,128
2023-02-25,5976,4171,240,136
2023-02-26,12814,8984,754,307
2023-02-27,14488,10403,367,353
2023-02-28,10214,7300,240,250
2023-03-01,9283,6570,282,222
2023-03-02,9704,6923,327,237
2023-03-03,18417,13242,455,445
2023-03-04,11485,8270,231,290
2023-03-05,14105,9928,451,348
2023-03-06,17268,12253,634,426
2023-03-07,9186,6666,413,225
2023-03-08,13739,10022,590,348
2023-03-09,10285,7393,422,255
2023-03-10,18346,13068,589,442
2023-03-11,17847,12519,497,407
2023-03-12,12812,9165,433,304
2023-03-13,7693,5571,306,192
2023-03-14,8753,6219,310,212
2023-03-15,9126,6401,114,213
2023-03-16,7455,5366,205,187
2023-03-17,12842,9133,478,303
2023-03-18,6649,4653,300,152
2023-03-19,9485,6666,292,218
2023-03-20,12455,8733,511,298
2023-03-21,9630,6793,309,227
2023-03-22,10224,7174,385,236
2023-03-23,14251,10122,406,337
2023-03-24,13336,9434,394,316
2023-03-25,13373,9561,444,327
2023-03-26,8147,5738,351,189
2023-03-27,12683,8894,118,300
2023-03-28,11069,7814,396,257
2023-03-29,11314,8073,468,273
2023-03-30,12248,8834,508,308
2023-03-31,10042,7183,252,243
2023-04-01,3570,2529,80,89
2023-04-17,0,0,0,0
2023-04-18,6774,4787,447,161
2023-04-19,10877,7603,689,237
2023-04-20,7284,5257,206,168
2023-04-21,6568,4592,401,158
2023-04-22,5496,3808,348,126
2023-04-23,6152,4260,430,140
2023-04-24,3791,2622,215,92
2023-04-25,4152,2895,223,102
2023-04-26,9480,6680,415,225
2023-04-27,4245,2990,187,108
2023-04-28,6470,4634,278,160
2023-04-29,8581,6168,379,214
2023-04-30,8979,6401,358,220
2023-05-01,11170,8066,265,277
2023-05-02,9605,7020,347,239
2023-05-03,8163,5793,299,193
2023-05-04,8981,6290,306,203
2023-05-05,2986,2222,105,80
