date,steps,distance,runDistance,calories
2021-03-03,10128,7023,641,224
2021-03-04,4826,3347,315,113
2021-03-05,9235,6405,456,205
2021-03-06,6285,4348,456,143
2021-03-07,2761,1910,239,66
2021-03-08,6241,4376,338,140
2021-03-09,5441,3878,388,130
2021-03-10,5288,3674,359,121
2021-03-11,4284,2973,295,96
2021-03-12,4588,3205,291,108
2021-03-13,16019,11750,331,408
2021-03-14,3021,2116,274,73
2021-03-15,11800,8681,374,298
2021-03-16,3270,2262,280,82
2021-03-17,4245,2936,280,100
2021-03-18,3664,2535,290,82
2021-03-19,3544,2452,314,82
2021-03-20,16774,12512,297,432
2021-03-21,2460,1702,245,60
2021-03-22,18408,13588,296,467
2021-03-23,4347,3056,300,101
2021-03-24,8433,5945,258,185
2021-03-25,2654,1836,257,64
2021-03-26,6590,4567,362,144
2021-03-27,6986,4911,352,160
2021-03-28,4258,2965,347,104
2021-03-29,6625,4583,436,144
2021-03-30,3676,2543,321,86
2021-03-31,14234,10423,428,344
2021-04-01,8022,5684,501,183
2021-04-02,10277,7134,679,217
2021-04-03,3233,2236,136,74
2021-04-04,3851,2664,285,87
2021-04-05,3891,2692,393,91
2021-04-06,19391,14635,211,510
2021-04-07,9370,6875,384,232
2021-04-08,3741,2588,265,87
2021-04-09,3841,2678,305,91
2021-04-10,3117,2156,228,72
2021-04-11,3972,2748,308,95
2021-04-12,2928,2025,220,66
2021-04-13,3868,2682,247,88
2021-04-14,16091,11907,612,416
2021-04-15,11908,8825,288,308
2021-04-16,12346,9081,233,315
2021-04-17,2563,1773,284,62
2021-04-18,2726,1886,235,65
2021-04-19,4363,3018,314,100
2021-04-20,2565,1774,226,60
2021-04-21,3350,2317,265,78
2021-04-22,3498,2420,240,78
2021-04-23,2682,1855,242,61
2021-04-24,4444,3207,206,111
2021-04-25,5113,3617,247,118
2021-04-26,3123,2160,250,74
2021-04-27,18598,14083,370,481
2021-04-28,17190,12729,345,441
2021-04-29,9659,7157,328,245
2021-04-30,2913,2015,241,68
2021-05-01,3330,2303,256,78
2021-05-02,3447,2384,258,82
2021-05-03,3305,2286,220,79
2021-05-04,13044,9448,287,322
2021-05-05,12494,9223,316,318
2021-05-06,3910,2705,217,89
2021-05-07,11026,8298,294,280
2021-05-08,6507,4558,272,151
2021-05-09,3039,2102,225,74
2021-05-10,3047,2108,276,74
2021-05-11,16479,12423,290,434
2021-05-12,2936,2031,301,76
2021-05-13,4182,2893,374,99
2021-05-14,5554,3871,459,129
2021-05-15,3515,2431,206,85
2021-05-16,3595,2487,246,76
2021-05-17,7231,5039,337,159
2021-05-18,9219,6796,536,225
2021-05-19,16363,11412,713,341
2021-05-20,17921,13295,421,446
2021-05-21,7033,4895,325,156
2021-05-22,11304,8076,531,255
2021-05-23,6440,4470,416,144
2021-05-24,5524,3828,342,120
2021-05-25,14527,11124,195,378
2021-05-26,4479,3098,380,106
2021-05-27,7818,5414,379,169
2021-05-28,16411,11554,552,366
2021-05-29,14590,10158,635,312
2021-05-30,8514,5916,649,195
2021-05-31,18210,14053,349,482
2021-06-01,4384,3033,306,106
2021-06-02,3118,2157,183,71
2021-06-03,20873,15778,497,539
2021-06-04,19818,14805,332,506
2021-06-05,11565,8008,674,258
2021-06-06,7062,4922,642,160
2021-06-07,5894,4080,393,130
2021-06-08,17864,13132,470,447
2021-06-09,5442,3764,191,115
2021-06-10,3989,2761,282,90
2021-06-11,16619,12058,838,401
2021-06-12,9148,6355,398,193
2021-06-13,9907,6898,634,225
2021-06-14,10612,7376,431,228
2021-06-15,9355,6489,466,202
2021-06-16,9157,6401,448,211
2021-06-17,10426,7259,563,221
2021-06-18,11319,7863,710,243
2021-06-19,10246,7125,526,225
2021-06-20,8926,6218,518,196
2021-06-21,11697,8119,582,250
2021-06-22,16893,11785,742,365
2021-06-23,6040,4209,322,141
2021-06-24,7799,5465,365,176
2021-06-25,12352,8568,550,265
2021-06-26,12952,8991,571,274
2021-06-27,10535,7324,455,233
2021-06-28,9278,6448,469,192
2021-06-29,10673,7436,431,242
2021-06-30,15846,11703,513,385
2021-07-01,6734,4671,379,146
2021-07-02,10626,7379,573,242
2021-07-03,9451,6567,547,207
2021-07-04,10890,7584,462,236
2021-07-05,15338,11183,446,368
2021-07-06,7380,5130,502,165
2021-07-07,8842,6146,448,190
2021-07-08,12686,8849,789,274
2021-07-09,2193,1518,168,50
2021-07-10,8657,6008,588,191
2021-07-11,9063,6366,396,206
2021-07-12,6627,4600,332,138
2021-07-13,10448,7246,446,221
2021-07-14,12978,9004,617,277
2021-07-15,8493,5907,477,188
2021-07-16,5619,3902,576,133
2021-07-17,7257,5020,425,155
2021-07-18,9655,6679,520,209
2021-07-19,11594,8189,376,263
2021-07-20,7412,5185,530,165
2021-07-21,10091,7012,432,209
2021-07-22,10359,7184,442,228
2021-07-23,14275,9927,700,311
2021-07-24,11307,7823,654,247
2021-07-25,10219,7095,534,222
2021-07-26,7445,5154,370,162
2021-07-27,9398,6501,459,200
2021-07-28,9561,6694,465,215
2021-07-29,9031,6263,651,198
2021-07-30,16563,11574,640,356
2021-07-31,12921,8967,519,277
2021-08-01,11497,7978,582,248
2021-08-02,6707,4664,424,144
2021-08-03,7401,5149,385,160
2021-08-04,10462,7281,568,228
2021-08-05,8077,5616,419,178
2021-08-06,11534,8046,577,251
2021-08-07,8730,6174,466,205
2021-08-08,8585,5949,438,185
2021-08-09,8140,5635,282,167
2021-08-10,5689,3945,324,124
2021-08-11,9673,6712,447,210
2021-08-12,15012,10632,584,328
2021-08-13,9235,6472,328,207
2021-08-14,8309,5793,570,186
2021-08-15,8295,5808,483,183
2021-08-16,5666,3924,438,131
2021-08-17,16153,11978,441,402
2021-08-18,7032,4866,348,148
2021-08-19,16727,11804,700,386
2021-08-20,6886,4795,350,157
2021-08-21,6608,4573,277,135
2021-08-22,6590,4566,396,148
2021-08-23,7442,5201,458,167
2021-08-24,7375,5160,362,164
2021-08-25,5564,3851,333,126
2021-08-26,7367,5124,347,161
2021-08-27,17534,13042,743,432
2021-08-28,8818,6167,580,190
2021-08-29,7582,5276,381,161
2021-08-30,5585,3871,338,127
2021-08-31,11371,7918,700,247
2021-09-01,12793,8910,610,274
2021-09-02,8156,5647,430,181
2021-09-03,11659,8169,374,267
2021-09-04,11093,7717,465,237
2021-09-05,6108,4243,353,138
2021-09-06,10115,7014,395,213
2021-09-07,7411,5151,416,156
2021-09-08,9828,6939,458,229
2021-09-09,13779,9837,711,322
2021-09-10,14092,9907,540,326
2021-09-11,6264,4337,263,133
2021-09-12,10406,7215,516,223
2021-09-13,8285,5775,399,173
2021-09-14,11266,7946,503,258
2021-09-15,2743,1897,196,64
2021-09-16,11465,8034,276,258
2021-09-17,7197,5068,352,170
2021-09-18,11803,8250,686,267
2021-09-19,8337,5880,397,190
2021-09-20,13448,9409,682,295
2021-09-21,8233,5731,434,181
2021-09-22,9738,6765,603,216
2021-09-23,14898,10895,473,367
2021-09-24,11278,7885,694,252
2021-09-25,19785,14301,729,479
2021-09-26,22742,16313,491,545
2021-09-27,22445,16221,412,541
2021-09-28,15168,11168,562,381
2021-09-29,14598,10622,543,364
2021-09-30,13807,9975,426,336
2021-10-01,14256,10569,742,357
2021-10-02,10993,7982,358,261
2021-10-03,20537,14688,344,478
2021-10-04,11475,8514,468,289
2021-10-05,11731,8551,352,280
2021-10-06,12094,8829,270,298
2021-10-07,11215,8105,238,272
2021-10-08,16326,12017,737,402
2021-10-09,10527,7531,390,259
2021-10-10,11233,7947,323,261
2021-10-11,10906,8050,498,269
2021-10-12,11345,8227,336,272
2021-10-13,9899,7162,436,235
2021-10-14,10874,7892,376,262
2021-10-15,13310,9787,773,327
2021-10-16,13182,9526,598,311
2021-10-17,10807,7863,422,246
2021-10-18,9457,6970,238,228
2021-10-19,8199,6092,289,206
2021-10-20,11093,8036,369,264
2021-10-21,9763,7065,529,238
2021-10-22,12904,9355,360,309
2021-10-23,9817,7112,506,237
2021-10-24,12087,8426,623,264
2021-10-25,5037,3515,331,119
2021-10-26,8748,6182,547,208
2021-10-27,8944,6333,411,202
2021-10-28,6155,4429,231,135
2021-10-29,4439,3167,326,103
2021-10-30,9920,6931,584,227
2021-10-31,7144,4984,490,160
2021-11-01,10166,7334,499,238
2021-11-02,6792,4927,337,165
2021-11-03,12975,9391,511,311
2021-11-04,9037,6613,379,221
2021-11-05,7757,5780,384,192
2021-11-06,7200,5332,276,179
2021-11-07,4890,3579,225,124
2021-11-08,7863,5648,334,191
2021-11-09,5980,4346,188,144
2021-11-10,4458,3336,274,110
2021-11-11,5999,4412,224,146
2021-11-12,7206,5381,291,181
2021-11-13,12442,9058,302,301
2021-11-14,7168,5111,228,169
2021-11-15,4116,2969,270,99
2021-11-16,6040,4440,395,151
2021-11-17,6731,4847,236,164
2021-11-18,4917,3562,218,122
2021-11-19,7265,5425,280,190
2021-11-20,7915,5749,348,189
2021-11-21,12600,9066,573,295
2021-11-22,3914,2869,266,98
2021-11-23,4836,3566,346,118
2021-11-24,7289,5379,267,181
2021-11-25,10631,7787,319,268
2021-11-26,7789,5652,383,191
2021-11-27,13982,10219,470,336
2021-11-28,10962,7986,297,265
2021-11-29,6614,4785,451,164
2021-11-30,7041,5205,292,174
2021-12-01,6063,4476,170,150
2021-12-02,4854,3545,377,120
2021-12-03,9476,6891,317,232
2021-12-04,6887,4906,483,166
2021-12-05,9603,7076,388,234
2021-12-06,6369,4624,270,155
2021-12-07,8188,6005,457,202
2021-12-08,5376,3912,287,131
2021-12-09,8879,6531,342,214
2021-12-10,7689,5638,316,193
2021-12-11,5047,3666,242,123
2021-12-12,4522,3316,362,116
2021-12-13,5886,4189,221,142
2021-12-14,5068,3649,161,124
2021-12-15,6675,4797,286,156
2021-12-16,10661,7612,396,248
2021-12-17,7043,5270,177,180
2021-12-18,6152,4507,462,153
2021-12-19,8523,6165,438,200
2021-12-20,6804,4914,225,165
2021-12-21,6564,4739,402,160
2021-12-22,4847,3460,246,116
2021-12-23,5403,3915,316,134
2021-12-24,6789,5049,260,169
2021-12-25,6416,4644,257,155
2021-12-26,8166,5884,215,187
2021-12-27,8931,6648,297,218
2021-12-28,6426,4643,589,164
2021-12-29,10122,7402,354,258
2021-12-30,5913,4319,260,147
2021-12-31,11749,8721,485,292
2022-01-01,10102,7069,729,226
2022-01-02,4011,2775,278,95
2022-01-03,7664,5393,245,170
2022-01-04,7122,4927,443,158
2022-01-05,6419,4506,411,146
2022-01-06,7408,5300,319,172
2022-01-07,8660,6117,550,202
2022-01-08,3409,2630,721,100
2022-02-02,8960,6392,403,208
2022-02-03,19187,14332,979,480
2022-02-04,5172,3592,300,112
2022-02-05,3971,2747,362,93
2022-02-06,5561,3878,317,120
2022-02-07,14234,10230,257,345
2022-02-08,12232,8844,846,297
2022-02-09,19899,14392,657,490
2022-02-10,3431,2379,212,77
2022-02-11,10007,7321,1037,251
2022-02-12,3179,2203,205,73
2022-02-13,19030,13851,352,461
2022-02-14,8282,6065,427,190
2022-02-15,3463,2395,264,79
2022-02-16,8750,6440,807,213
2022-02-17,3921,2715,222,85
2022-02-18,12674,9473,863,329
2022-02-19,3663,2538,298,85
2022-02-20,14018,9927,278,338
2022-02-21,10352,7699,1198,266
2022-02-22,3737,2585,248,81
2022-02-23,9886,7178,1187,242
2022-02-24,4138,2868,249,89
2022-02-25,13456,9848,1429,332
2022-02-26,5784,4005,399,125
2022-02-27,10851,7657,513,246
2022-02-28,8377,6149,1340,217
2022-03-01,5793,4026,436,132
2022-03-02,12164,8824,1104,306
2022-03-03,4371,3026,291,95
2022-03-04,10577,7685,978,251
2022-03-05,6363,4410,279,135
2022-03-06,7675,5329,353,161
2022-03-07,7384,5389,755,189
2022-03-08,4452,3087,235,98
2022-03-09,8389,6191,863,216
2022-03-10,5407,3757,180,111
2022-03-11,12174,8726,1257,287
2022-03-12,3622,2505,227,82
2022-03-13,5130,3661,348,125
2022-03-14,10032,7370,969,248
2022-03-15,8380,6494,300,221
2022-03-16,14517,10651,613,354
2022-03-17,3532,2443,256,83
2022-03-18,10289,7239,347,223
2022-03-19,7470,5178,382,171
2022-03-20,9606,6710,656,220
2022-03-21,6593,4569,397,146
2022-03-22,14238,10328,468,337
2022-03-23,10576,7701,432,256
2022-03-24,8769,6292,503,207
2022-03-25,23804,17592,1173,590
2022-03-26,8388,6304,648,219
2022-03-27,14217,10382,853,349
2022-03-28,12279,8744,500,288
2022-03-29,8637,6343,634,216
2022-03-30,6579,4697,381,157
2022-03-31,11827,8566,899,283
2022-04-01,9237,6765,460,231
